method,segment,condition,scenario_band,mean,std,ci95_half_width
APEX-I additive,enterprise,AFC,conservative,0.9356856774416468,5.386374091121562e-05,2.3606825295183258e-05
APEX-I additive,enterprise,C24,conservative,0.8737819652225121,0.0012659538601841253,0.0005548287419989939
APEX-I additive,enterprise,CAB,baseline,0.8912589517289025,0.0008657061212304094,0.00037941243617933834
APEX-I additive,enterprise,FAR,accelerated,0.6603730534753032,0.011929474890396047,0.005228322890997273
APEX-I additive,enterprise,HAO,accelerated,0.749204805130557,0.0035610067877351933,0.001560680036159955
APEX-I additive,enterprise,PAR,baseline,0.8234641619673772,0.0024910972711148912,0.0010917715160083153
APEX-I additive,smb,AFC,conservative,0.9356856774416468,5.386374091121562e-05,2.3606825295183258e-05
APEX-I additive,smb,C24,conservative,0.8737819652225121,0.0012659538601841253,0.0005548287419989939
APEX-I additive,smb,CAB,baseline,0.8912589517289025,0.0008657061212304094,0.00037941243617933834
APEX-I additive,smb,FAR,accelerated,0.6603730534753032,0.011929474890396047,0.005228322890997273
APEX-I additive,smb,HAO,accelerated,0.749204805130557,0.0035610067877351933,0.001560680036159955
APEX-I additive,smb,PAR,baseline,0.8234641619673772,0.0024910972711148912,0.0010917715160083153
APEX-II,enterprise,AFC,conservative,0.9161505647505164,0.00010500876896150441,4.60221221437728e-05
APEX-II,enterprise,C24,conservative,0.7854047517309416,0.002708609911553219,0.0011871006338054874
APEX-II,enterprise,CAB,baseline,0.8235280028353792,0.0018736399659327614,0.0008211589205204647
APEX-II,enterprise,FAR,accelerated,0.48016585101785614,0.006603509720679195,0.0028941157386017883
APEX-II,enterprise,HAO,accelerated,0.5812548643648101,0.006020450620152015,0.002638578821000771
APEX-II,enterprise,PAR,baseline,0.6796560921825853,0.004762184175375397,0.0020871192373525813
APEX-II,smb,AFC,conservative,0.9183473177675623,7.403697074718531e-05,3.244813309001847e-05
APEX-II,smb,C24,conservative,0.8325667795244879,0.0017324887699813817,0.0007592966813469398
APEX-II,smb,CAB,baseline,0.8567058337638308,0.0012004688124141918,0.000526128654407609
APEX-II,smb,FAR,accelerated,0.625134327135349,0.005110218739045936,0.0022396521101583945
APEX-II,smb,HAO,accelerated,0.6986831172618639,0.00433733581269653,0.0019009212328130122
APEX-II,smb,PAR,baseline,0.7650296409658837,0.003194621001651792,0.0014001043855202072
Expert-prior APEX-II,enterprise,AFC,conservative,0.9169225985971385,9.435405187247065e-05,4.1352486492119586e-05
Expert-prior APEX-II,enterprise,C24,conservative,0.8036826390086903,0.0023091458876014917,0.0010120278062296408
Expert-prior APEX-II,enterprise,CAB,baseline,0.8362675118564569,0.0015968002097963435,0.0006998285478557477
Expert-prior APEX-II,enterprise,FAR,accelerated,0.5295455066247834,0.006402644397090082,0.0028060826290997095
Expert-prior APEX-II,enterprise,HAO,accelerated,0.6241983818261974,0.005557994450152134,0.0024358984681849202
Expert-prior APEX-II,enterprise,PAR,baseline,0.7123157564914363,0.004193612870108711,0.0018379318759806902
Expert-prior APEX-II,smb,AFC,conservative,0.9189016446370715,6.663751968484968e-05,2.9205180677991634e-05
Expert-prior APEX-II,smb,C24,conservative,0.844115279284867,0.0014755230194758975,0.0006466764756871151
Expert-prior APEX-II,smb,CAB,baseline,0.8648420628117934,0.0010273532201054989,0.00045025740086360297
Expert-prior APEX-II,smb,FAR,accelerated,0.6618246319723413,0.004790126415543316,0.002099365464050563
Expert-prior APEX-II,smb,HAO,accelerated,0.7281960686170811,0.0038780519551401787,0.0016996312072260031
Expert-prior APEX-II,smb,PAR,baseline,0.7861663369740952,0.002757127641382071,0.0012083644664396987
Linear displacement,enterprise,AFC,conservative,0.9783659852692468,0.00026795187145048995,0.00011743508545526982
Linear displacement,enterprise,C24,conservative,0.7696890300149895,0.002852556781120055,0.0012501881309634364
Linear displacement,enterprise,CAB,baseline,0.8156354271041811,0.0022834796477410714,0.0010007790806469167
Linear displacement,enterprise,FAR,accelerated,0.475300591981943,0.006498756244607079,0.002848205503499965
Linear displacement,enterprise,HAO,accelerated,0.5721603638906056,0.005299082606856428,0.002322425349754282
Linear displacement,enterprise,PAR,baseline,0.6628517577976466,0.004175808493184811,0.001830128763749312
Linear displacement,smb,AFC,conservative,0.984134578762163,0.00019247985166885668,8.435801439560542e-05
Linear displacement,smb,C24,conservative,0.8311002095550568,0.002049098232211856,0.0008980568962008704
Linear displacement,smb,CAB,baseline,0.8647952473579444,0.0016403088416843713,0.0007188970465236382
Linear displacement,smb,FAR,accelerated,0.6152088627536789,0.0046682996883838845,0.00204597254674322
Linear displacement,smb,HAO,accelerated,0.6862414982333648,0.0038065292420894543,0.0016682849961559435
Linear displacement,smb,PAR,baseline,0.7527505204786185,0.002999639431570035,0.0013146499446879676
No DAG coupling,enterprise,AFC,conservative,0.9183473177675623,7.403697074718531e-05,3.244813309001847e-05
No DAG coupling,enterprise,C24,conservative,0.8325667795244879,0.0017324887699813817,0.0007592966813469398
No DAG coupling,enterprise,CAB,baseline,0.8567058337638308,0.0012004688124141918,0.000526128654407609
No DAG coupling,enterprise,FAR,accelerated,0.625134327135349,0.005110218739045936,0.0022396521101583945
No DAG coupling,enterprise,HAO,accelerated,0.6986831172618639,0.00433733581269653,0.0019009212328130122
No DAG coupling,enterprise,PAR,baseline,0.7650296409658837,0.003194621001651792,0.0014001043855202072
No DAG coupling,smb,AFC,conservative,0.9183473177675623,7.403697074718531e-05,3.244813309001847e-05
No DAG coupling,smb,C24,conservative,0.8325667795244879,0.0017324887699813817,0.0007592966813469398
No DAG coupling,smb,CAB,baseline,0.8567058337638308,0.0012004688124141918,0.000526128654407609
No DAG coupling,smb,FAR,accelerated,0.625134327135349,0.005110218739045936,0.0022396521101583945
No DAG coupling,smb,HAO,accelerated,0.6986831172618639,0.00433733581269653,0.0019009212328130122
No DAG coupling,smb,PAR,baseline,0.7650296409658837,0.003194621001651792,0.0014001043855202072
No TAM feedback,enterprise,AFC,conservative,0.9161505647505164,0.00010500876896150441,4.60221221437728e-05
No TAM feedback,enterprise,C24,conservative,0.7854047517309416,0.002708609911553219,0.0011871006338054874
No TAM feedback,enterprise,CAB,baseline,0.8235280028353792,0.0018736399659327614,0.0008211589205204647
No TAM feedback,enterprise,FAR,accelerated,0.48016585101785614,0.006603509720679195,0.0028941157386017883
No TAM feedback,enterprise,HAO,accelerated,0.5812548643648101,0.006020450620152015,0.002638578821000771
No TAM feedback,enterprise,PAR,baseline,0.6796560921825853,0.004762184175375397,0.0020871192373525813
No TAM feedback,smb,AFC,conservative,0.9183473177675623,7.403697074718531e-05,3.244813309001847e-05
No TAM feedback,smb,C24,conservative,0.8325667795244879,0.0017324887699813817,0.0007592966813469398
No TAM feedback,smb,CAB,baseline,0.8567058337638308,0.0012004688124141918,0.000526128654407609
No TAM feedback,smb,FAR,accelerated,0.625134327135349,0.005110218739045936,0.0022396521101583945
No TAM feedback,smb,HAO,accelerated,0.6986831172618639,0.00433733581269653,0.0019009212328130122
No TAM feedback,smb,PAR,baseline,0.7650296409658837,0.003194621001651792,0.0014001043855202072
Single-regime linear,enterprise,AFC,conservative,0.9855976234182903,0.00017473014214810395,7.657886121002686e-05
Single-regime linear,enterprise,C24,conservative,0.8466754616789751,0.001860138722497248,0.0008152417396923589
Single-regime linear,enterprise,CAB,baseline,0.8772632800606758,0.0014890462279000777,0.0006526032830959466
Single-regime linear,enterprise,FAR,accelerated,0.650692737315467,0.004237808067020445,0.001857301275037121
Single-regime linear,enterprise,HAO,accelerated,0.7151750318876362,0.003455506588322827,0.0015144425351248916
Single-regime linear,enterprise,PAR,baseline,0.7755508624500809,0.0027230248762501437,0.0011934182706327815
Single-regime linear,smb,AFC,conservative,0.9855976234182903,0.00017473014214810395,7.657886121002686e-05
Single-regime linear,smb,C24,conservative,0.8466754616789751,0.001860138722497248,0.0008152417396923589
Single-regime linear,smb,CAB,baseline,0.8772632800606758,0.0014890462279000777,0.0006526032830959466
Single-regime linear,smb,FAR,accelerated,0.650692737315467,0.004237808067020445,0.001857301275037121
Single-regime linear,smb,HAO,accelerated,0.7151750318876362,0.003455506588322827,0.0015144425351248916
Single-regime linear,smb,PAR,baseline,0.7755508624500809,0.0027230248762501437,0.0011934182706327815
Uniform topology,enterprise,AFC,conservative,0.9183473177675623,7.403697074718531e-05,3.244813309001847e-05
Uniform topology,enterprise,C24,conservative,0.8325667795244879,0.0017324887699813817,0.0007592966813469398
Uniform topology,enterprise,CAB,baseline,0.8567058337638308,0.0012004688124141918,0.000526128654407609
Uniform topology,enterprise,FAR,accelerated,0.625134327135349,0.005110218739045936,0.0022396521101583945
Uniform topology,enterprise,HAO,accelerated,0.6986831172618639,0.00433733581269653,0.0019009212328130122
Uniform topology,enterprise,PAR,baseline,0.7650296409658837,0.003194621001651792,0.0014001043855202072
Uniform topology,smb,AFC,conservative,0.9183473177675623,7.403697074718531e-05,3.244813309001847e-05
Uniform topology,smb,C24,conservative,0.8325667795244879,0.0017324887699813817,0.0007592966813469398
Uniform topology,smb,CAB,baseline,0.8567058337638308,0.0012004688124141918,0.000526128654407609
Uniform topology,smb,FAR,accelerated,0.625134327135349,0.005110218739045936,0.0022396521101583945
Uniform topology,smb,HAO,accelerated,0.6986831172618639,0.00433733581269653,0.0019009212328130122
Uniform topology,smb,PAR,baseline,0.7650296409658837,0.003194621001651792,0.0014001043855202072
